name,name_en,place,lat,lon
祥城镇,Xiangcheng,town,25.479,100.556
漾濞县,Yangbi,city,25.6735,99.9571
栋川镇,Dongchuan,town,25.509,101.2401
盈江县,Yingjiang,city,24.7084,97.9317
永平县,Yongping,city,25.4636,99.527
永北镇,Yongbei,town,26.6889,100.7463
镇康县,Zhenkang,city,23.7613,98.8249
镇沅县,Zhenyuan,city,24.0073,101.1104
勐海县 ᦵᦙᦲᧂ ᦣᦻ ᦶᦉᧃᧈ,Menghai,city,21.9599,100.4512
เนินหอม,Noen Hom,town,14.1793,101.352
โคกกรวด,Kok Kruat,village,14.1854,101.3122
บ้านยูงคิ,Baan Yungke,village,14.243,101.3163
লাইমি পাড়া,Laimi Para,village,22.157,92.2158
সারণ পাড়া,Saron Para,village,22.1393,92.221
মুরোলং পাড়া,Murolong Para,village,22.1277,92.2284
কাখাংছড়ি,Kakhangchari,village,22.0652,92.352
বগামুখ পাড়া,Bogamuck Para,village,22.018,92.4566
পলিকা,Polika,village,22.0296,92.4463
บางปะอิน,Bang Pa-in,town,14.2264,100.5769
ชุมพร,Chumphon,town,10.4961,99.1779
ที่บ้านหินแตก,Ban Therd Thai,village,20.2438,99.6633
บ้านอรุโณทัย,Ban Arunothai,village,19.7404,98.9633
บางกระสอบ,Bang Krasop,village,13.6591,100.5575
พระประแดง,Phra Pradaeng,town,13.6592,100.5338
ဘုတလင်,Budalin,town,22.3871,95.1436
မိုးကောင်းမြို့,Mogaung,city,25.3019,96.9417
မြစ်ဆုံ ရွာ,Myitson,village,23.2492,96.5198
သီပေါ,Hsipaw,city,22.6197,97.2993
เกาะสีชัง,Ko Si Chang,town,13.1599,100.8096
ဟုမ္မလင်း,Homalin,town,24.8689,94.9169
ตำบลดอนโพธิ์,Don Pho,village,14.7159,100.6132
ตำบลดอนทอง,Don Thong,village,14.6586,100.6588
หรเทพ,Horathep,village,14.6297,100.6965
ตลาดน้อย,Talat Noi,town,14.6283,100.7233
บ้านหมอ,Ban Mo,town,14.6166,100.7276
ตำบลโคกลำพาน,Khok Lamphan,village,14.7468,100.6306
黄坪镇,Huangping,town,26.1031,100.26
কুতুপালং,Kutupalong,village,21.2169,92.1646
বালুখালী,Balukhali,village,21.1889,92.1675
থাইংখালী,Thaingkhaili,village,21.1688,92.155
পালংখালী,PalongKhali,village,21.1438,92.1599
হ্নীলা,Nhilla,village,21.0148,92.2453
小维西,Xiaoweixi,village,27.4337,99.0558
明永,Mingyong,village,28.4716,98.788
Nakhola,,town,26.1249,92.2013
Kumar Gaon,,village,26.8282,94.2473
Numaligarh,,village,26.6305,93.7268
Marigaon,,town,26.2515,92.3444
Samaguri,,village,26.4189,92.8447
Missa,,village,26.4851,92.9449
Silchar,Silchar,city,24.8296,92.7971
Katakhal,,village,24.8324,92.6318
Imphal,Imphal,city,24.7991,93.9364
Kanglatongbi,,village,24.9767,93.8884
Tadubi,,village,25.4807,94.1389
光禄镇,Guanglu,town,25.5891,101.2017
ປາກແບ່ງ,Pakbeng,town,19.8945,101.1363
สมุทรสงคราม,Samut Songkhram,town,13.4087,100.0005
หาดบางเบน,Hat Bang Ben,village,9.6036,98.4685
หลังสวน,Lang Suan,town,9.9525,99.0749
บ้านพุน้อย,Ban Phu Noi,village,12.2334,99.9687
ပုဂံ,Bagan,town,21.1317,94.8624
Khaung Daing,Khaung Daing,village,20.6029,96.8815
Maing Thauk,,village,20.5819,96.9425
ရွှေညောင်,Shwenyaung,town,20.7615,96.9377
,Ban Goom,village,14.4484,100.4621
บ้านเพนียด,Ban Phaniat,village,14.3776,100.5672
อ่าวเทียน,Ao Thian,village,12.5491,101.4486
อ่าวลุงดำ,Ao Lung Dum,village,12.5457,101.4472
อ่าวกิวนานอก,Ao Kiu Na Nok,village,12.531,101.4458
อ่าวพร้าว,Ao Prao,village,12.5703,101.4498
อ่าวไพ,Ao Phai,village,12.5642,101.4571
อ่าวพุทซา,Ao Phutsa,village,12.5618,101.4559
อ่าวโช,Ao Cho,village,12.5574,101.4534
อ่าววงเดือน,Ao Wong Deuan,village,12.5543,101.4502
อ่าวรักยอน,Ao Lukyon,village,12.5698,101.4685
อ่าวน้อยหน่า,Ao Noi Na,village,12.5747,101.458
อ่าวหินขอก,Ao Hin Khok,village,12.5655,101.46
บ้านหล่อชา,Ban Lo Cha,village,20.1022,99.604
บ.บ้านโคก,Ban Khok,village,16.4464,101.2316
บ.ดงน้อย,Ban Dongnoi,village,16.546,101.231
บ้านลําป่าลักมูล,Ban Sam Pa Sak Mun,village,16.4981,101.2142
บ.โคกน้อย,Ban Khok Noi,village,16.54,101.2311
บ.กงกระยาง,Ban Gongrajang,village,16.5116,101.2357
บ.ดงมูลเหล็ก,Ban Dong Mun Lek,village,16.4455,101.1953
